,wagnum,month,date_build,srok_sl,date_pl_rem,July_ost_prob,July_ost_srok_sl,August_ost_prob,August_ost_srok_sl,September_ost_prob,September_ost_srok_sl,October_ost_prob,October_ost_srok_sl,November_ost_prob,November_ost_srok_sl,December_ost_prob,December_ost_srok_sl
0,33361,2023-01-01,2011-02-08,2033-03-01,2023-02-17,0.0,3896.0,7541.0,3865.0,4105.0,3834.0,2185.0,3804.0,1236.0,3773.0,159916.0,3743.0
1,33364,2023-01-01,2010-04-21,2031-04-12,2023-10-03,0.0,3207.0,37103.0,3176.0,31596.0,3145.0,27339.0,3115.0,16969.0,3084.0,4268.0,3054.0
2,33366,2023-01-01,2010-06-23,2032-01-21,2023-04-03,0.0,3491.0,10242.0,3460.0,9354.0,3429.0,5741.0,3399.0,3524.0,3368.0,1507.0,3338.0
3,33358,2023-01-01,2012-09-27,2032-11-30,2024-02-23,0.0,3805.0,41827.0,3774.0,39414.0,3743.0,36701.0,3713.0,31589.0,3682.0,30223.0,3652.0
4,33349,2023-01-01,2011-11-20,2033-12-04,2023-07-06,0.0,4174.0,5722.0,4143.0,2874.0,4112.0,733.0,4082.0,157811.0,4051.0,153839.0,4021.0
5,33354,2023-01-01,2010-11-18,2031-03-24,2023-07-29,0.0,3188.0,30663.0,3157.0,27534.0,3126.0,26059.0,3096.0,21280.0,3065.0,17174.0,3035.0
6,33355,2023-01-01,2011-03-02,2031-12-17,2024-01-14,0.0,3456.0,27254.0,3425.0,22073.0,3394.0,20903.0,3364.0,19446.0,3333.0,16705.0,3303.0
7,33356,2023-01-01,2012-04-08,2033-11-17,2022-09-28,0.0,4157.0,9799.0,4126.0,6115.0,4095.0,159263.0,4065.0,154754.0,4034.0,149794.0,4004.0
8,33370,2023-01-01,2011-05-07,2032-08-28,2023-07-04,0.0,3711.0,17787.0,3680.0,15906.0,3649.0,7909.0,3619.0,2623.0,3588.0,155241.0,3558.0
9,33373,2023-01-01,2018-03-08,2050-02-12,2023-03-20,0.0,10088.0,16368.0,10057.0,5996.0,10026.0,2900.0,9996.0,349998.0,9965.0,348061.0,9935.0
10,33375,2023-01-01,2011-03-01,2032-03-24,2023-05-23,0.0,3554.0,10631.0,3523.0,3858.0,3492.0,157646.0,3462.0,148936.0,3431.0,139338.0,3401.0
11,29889,2023-01-01,2014-07-06,2034-01-20,2023-03-28,0.0,4221.0,44930.0,4190.0,37796.0,4159.0,32600.0,4129.0,31290.0,4098.0,25826.0,4068.0
12,29890,2023-01-01,2010-10-11,2035-04-06,2023-08-16,0.0,4662.0,45621.0,4631.0,32939.0,4600.0,26074.0,4570.0,18155.0,4539.0,6310.0,4509.0
13,29894,2023-01-01,2012-07-23,2034-02-14,2023-06-20,0.0,4246.0,41798.0,4215.0,32648.0,4184.0,28816.0,4154.0,22118.0,4123.0,16134.0,4093.0
14,29895,2023-01-01,2013-05-27,2033-07-16,2023-11-14,0.0,4033.0,5296.0,4002.0,155784.0,3971.0,150626.0,3941.0,142675.0,3910.0,134868.0,3880.0
15,29895,2023-01-01,2013-05-27,2033-07-16,2025-08-07,0.0,4033.0,5296.0,4002.0,155784.0,3971.0,150626.0,3941.0,142675.0,3910.0,134868.0,3880.0
16,29896,2023-01-01,2013-01-03,2034-04-25,2023-08-24,0.0,4316.0,30353.0,4285.0,26239.0,4254.0,22189.0,4224.0,14974.0,4193.0,10214.0,4163.0
17,29898,2023-01-01,2011-10-10,2035-02-27,2023-06-15,0.0,4624.0,25986.0,4593.0,23436.0,4562.0,16544.0,4532.0,12900.0,4501.0,159999.0,4471.0
18,29904,2023-01-01,2012-12-26,2034-08-28,2023-03-09,0.0,4441.0,20327.0,4410.0,18627.0,4379.0,14444.0,4349.0,10469.0,4318.0,10230.0,4288.0
19,29906,2023-01-01,2012-07-14,2033-11-05,2023-05-07,0.0,4145.0,32222.0,4114.0,24317.0,4083.0,20058.0,4053.0,12783.0,4022.0,4468.0,3992.0
20,29907,2023-01-01,2013-04-25,2034-01-25,2024-02-04,0.0,4226.0,26821.0,4195.0,24520.0,4164.0,22109.0,4134.0,18915.0,4103.0,8433.0,4073.0
21,29914,2023-01-01,2013-05-09,2033-07-27,2023-07-07,0.0,4044.0,16546.0,4013.0,14304.0,3982.0,11320.0,3952.0,8988.0,3921.0,153617.0,3891.0
22,29916,2023-01-01,2011-10-27,2036-05-17,2023-10-29,0.0,5069.0,41550.0,5038.0,36173.0,5007.0,32396.0,4977.0,29887.0,4946.0,26409.0,4916.0
23,29923,2023-01-01,2011-10-26,2035-06-17,2023-08-12,0.0,4734.0,30444.0,4703.0,27035.0,4672.0,23168.0,4642.0,21624.0,4611.0,13772.0,4581.0
24,29928,2023-01-01,2012-07-04,2035-05-18,2023-11-06,0.0,4704.0,50653.0,4673.0,44580.0,4642.0,34014.0,4612.0,27719.0,4581.0,15337.0,4551.0
25,29930,2023-01-01,2012-06-18,2036-01-24,2024-03-13,0.0,4955.0,51241.0,4924.0,39920.0,4893.0,29530.0,4863.0,25524.0,4832.0,20013.0,4802.0
26,29933,2023-01-01,2011-12-21,2033-10-15,2023-09-11,0.0,4124.0,21650.0,4093.0,18141.0,4062.0,10058.0,4032.0,8843.0,4001.0,518.0,3971.0
27,29935,2023-01-01,2012-10-15,2034-08-06,2023-03-06,0.0,4419.0,2462.0,4388.0,255.0,4357.0,133.0,4327.0,155929.0,4296.0,148619.0,4266.0
28,29938,2023-01-01,2012-06-18,2036-09-02,2023-04-10,0.0,5177.0,35394.0,5146.0,30205.0,5115.0,27740.0,5085.0,22151.0,5054.0,17550.0,5024.0
29,29942,2023-01-01,2013-08-17,2034-07-15,2023-08-18,0.0,4397.0,33710.0,4366.0,26799.0,4335.0,20662.0,4305.0,12088.0,4274.0,7470.0,4244.0
30,29944,2023-01-01,2013-09-09,2033-07-19,2023-04-28,0.0,4036.0,9861.0,4005.0,160000.0,3974.0,156159.0,3944.0,156159.0,3913.0,150860.0,3883.0
31,29948,2023-01-01,2011-06-20,2034-04-16,2023-10-16,0.0,4307.0,16832.0,4276.0,11197.0,4245.0,4207.0,4215.0,152715.0,4184.0,145869.0,4154.0
32,29950,2023-01-01,2012-07-23,2034-11-25,2023-03-31,0.0,4530.0,45773.0,4499.0,43326.0,4468.0,38751.0,4438.0,27649.0,4407.0,25096.0,4377.0
33,29952,2023-01-01,2013-01-02,2034-02-14,2023-10-18,0.0,4246.0,28358.0,4215.0,22769.0,4184.0,19457.0,4154.0,18488.0,4123.0,12086.0,4093.0
34,29822,2023-01-01,2013-04-16,2033-09-07,2023-09-10,0.0,4086.0,14869.0,4055.0,12187.0,4024.0,7841.0,3994.0,5848.0,3963.0,4661.0,3933.0
35,29823,2023-01-01,2012-08-25,2035-12-02,2024-03-19,0.0,4902.0,59589.0,4871.0,43825.0,4840.0,36651.0,4810.0,30922.0,4779.0,20878.0,4749.0
36,29824,2023-01-01,2012-04-01,2035-05-01,2023-05-27,0.0,4687.0,1989.0,4656.0,-1849.0,4625.0,156860.0,4595.0,155477.0,4564.0,147604.0,4534.0
37,29826,2023-01-01,2010-12-20,2034-10-23,2023-07-25,0.0,4497.0,8693.0,4466.0,154219.0,4435.0,146397.0,4405.0,139243.0,4374.0,131859.0,4344.0
38,29830,2023-01-01,2012-06-18,2035-07-06,2023-10-23,0.0,4753.0,26595.0,4722.0,20677.0,4691.0,158086.0,4661.0,155725.0,4630.0,153128.0,4600.0
39,29831,2023-01-01,2012-09-29,2035-03-16,2024-01-24,0.0,4641.0,60080.0,4610.0,50819.0,4579.0,43373.0,4549.0,34479.0,4518.0,22189.0,4488.0
40,29840,2023-01-01,2012-12-09,2034-02-02,2023-09-04,0.0,4234.0,15462.0,4203.0,10673.0,4172.0,9187.0,4142.0,157914.0,4111.0,156230.0,4081.0
41,29844,2023-01-01,2011-11-20,2035-08-31,2023-03-26,0.0,4809.0,17193.0,4778.0,14940.0,4747.0,9927.0,4717.0,1875.0,4686.0,154757.0,4656.0
42,29845,2023-01-01,2012-07-24,2035-07-09,2023-08-03,0.0,4756.0,24602.0,4725.0,22429.0,4694.0,22429.0,4664.0,13467.0,4633.0,9983.0,4603.0
43,29850,2023-01-01,2011-05-13,2035-06-12,2023-04-01,0.0,4729.0,20292.0,4698.0,17944.0,4667.0,13609.0,4637.0,11812.0,4606.0,6404.0,4576.0
44,29852,2023-01-01,2012-12-20,2036-05-27,2023-11-10,0.0,5079.0,32597.0,5048.0,29048.0,5017.0,27681.0,4987.0,23649.0,4956.0,16785.0,4926.0
